Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Book value,Price to book value,Piotroski score,Industry PE,PE Variance,Promoter holding,Change in promoter holding 3Years,FII holding,DII holding,Contingent liabilities,Pledged percentage,EVEBITDA,Enterprise Value,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,Return over 3months,Return over 6months,Return over 1year,Return over 3years
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,39.70,140.09,7.80,55.87,0.71,6.00,24.78,0.31,44.83,1.47,0.00,0.00,11.02,53.74,3.91,220.00,37.04,34.89,36.93,34.84,7.73,32.33,48.69,-4.72
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,12.65,13.28,,16.00,0.79,3.00,17.34,,60.63,9.64,0.00,0.50,0.00,0.00,-1.61,31.72,12.66,12.26,12.68,12.26,12.44,29.08,17.67,-33.36
3i Infotech,532628,3IINFOTECH,Computers - Software - Medium / Small,7.75,1252.91,17.28,2.58,3.00,6.00,27.79,0.62,0.00,0.00,0.08,22.68,336.21,0.00,13.58,1939.33,7.41,5.63,7.40,5.61,10.71,167.24,453.57,21.70
3M India,523395,3MINDIA,Trading,24730.95,27871.78,183.34,1581.28,15.64,5.00,41.36,4.43,75.00,0.00,3.76,7.64,531.25,0.00,102.27,26935.81,25647.40,22841.38,25684.81,22822.39,18.29,21.07,32.83,6.28
3P Land Hold.,516092,3PLAND,Finance & Investments,14.60,26.28,28.57,18.87,0.77,6.00,17.34,1.65,73.24,0.69,0.00,0.00,108.13,0.00,52.30,26.15,9.79,8.71,9.60,8.65,50.52,124.62,147.46,1.05
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,0.78,2.72,,2.83,0.28,4.00,19.94,,9.43,0.00,0.00,0.00,0.00,0.00,-1.96,14.12,0.85,0.84,0.86,0.84,-6.02,16.42,178.57,-27.30
5Paisa Capital,540776,5PAISA,Finance & Investments,367.15,936.82,63.77,61.17,6.00,6.00,17.34,3.68,34.53,4.51,17.45,0.00,125.00,0.00,14.54,646.47,318.22,295.50,316.22,294.78,34.24,13.81,121.44,9.06
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,85.85,395.58,,677.77,0.13,3.00,27.79,,45.63,0.00,4.89,0.13,535.55,0.00,-214.83,-827.11,83.91,80.46,83.83,80.40,3.25,17.76,57.81,-1.01
7NR Retail Ltd,540615,,Trading,6.28,6.58,,9.84,0.64,6.00,85.43,,37.99,-19.90,0.00,0.00,0.00,0.00,-12.55,5.02,6.61,13.89,6.63,13.97,-9.90,27.38,-67.29,-29.95
A & M Febcon,540697,,Engineering,1.50,1.92,,10.19,0.15,4.00,23.35,,15.25,-42.76,0.00,0.00,0.00,0.00,17.63,8.99,1.67,3.15,1.68,3.17,-22.68,20.97,-84.54,-42.86
A and M Jumbo,,AMJUMBO,Packaging,9.75,10.24,,9.93,0.98,3.00,11.33,,58.80,,,,0.00,65.32,17.22,16.01,11.16,11.01,11.21,11.02,-23.83,-18.75,2.09,-24.58
A B B,500002,ABB,Electric Equipment,1371.95,29072.77,121.44,170.19,8.06,6.00,25.64,4.74,75.00,0.00,3.83,7.26,563.98,0.00,60.12,26866.20,1390.25,1240.85,1390.99,1239.53,-8.25,44.52,62.05,6.96
A B Infrabuild,,ABINFRA,Construction,6.15,7.79,2.52,22.95,0.27,4.00,14.45,0.17,59.19,,,,0.00,0.00,3.57,27.72,7.09,13.01,7.13,13.07,-7.52,-7.52,-32.04,
A B M Internatl.,,ABMINTLTD,Trading,54.05,63.56,12.79,11.45,4.72,6.00,41.36,0.31,74.70,0.51,,,7.40,0.00,5.76,56.68,51.12,37.86,51.01,37.70,58.04,135.51,315.77,28.29
A F Enterprises,538351,,Trading,17.60,16.74,,2.21,7.97,6.00,41.36,,8.49,-11.70,0.00,0.00,0.00,0.00,1923.00,19.23,16.88,12.78,16.85,12.73,-3.03,92.14,151.07,110.02
A Infrastructure,539620,,Cement Products,22.65,96.59,25.02,14.09,1.61,6.00,16.17,1.55,73.95,0.00,0.00,0.00,0.00,0.00,9.52,160.46,24.09,23.30,24.15,23.30,-16.11,-9.40,53.35,-9.34
A K Spintex,539300,,Textiles - Processing,24.70,12.43,12.81,41.28,0.60,6.00,16.32,0.78,65.32,0.00,0.00,0.00,0.00,0.00,3.74,21.90,25.88,24.03,25.93,24.02,-10.34,11.01,147.00,-10.97
A R C Finance,540135,,Finance & Investments,4.85,24.49,306.12,10.08,0.48,6.00,17.34,17.65,12.02,0.00,0.00,0.00,0.00,0.00,246.70,24.67,4.08,2.97,4.05,2.95,-8.14,284.92,1632.14,10.75
A-1 Acid,542012,,Chemicals,105.00,105.00,33.98,37.77,2.78,6.00,25.38,1.34,70.00,,0.00,0.00,0.00,0.00,22.15,112.73,96.69,77.70,96.35,77.42,50.00,59.09,81.19,
A.K.Capital Serv,530499,,Finance & Investments,402.90,265.91,4.07,975.38,0.41,5.00,17.34,0.23,70.51,3.33,0.00,0.00,0.00,0.00,6.86,1234.56,361.87,312.70,360.19,311.79,18.45,55.08,116.90,-1.45
A2Z Infra Engg.,533292,A2ZINFRA,Engineering,4.15,73.09,,21.78,0.19,4.00,20.39,,28.14,-1.42,2.47,0.00,513.44,99.98,-21.48,424.15,4.02,4.53,4.02,4.54,-6.74,10.67,7.79,-44.40
AAA Technologies,,AAATECH,Computers - Software - Medium / Small,42.40,36.26,9.80,11.93,3.55,5.00,27.79,0.35,71.51,,,,2.04,0.00,6.75,34.43,42.56,42.76,42.57,42.76,0.47,0.24,,
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,148.65,150.51,29.40,38.66,3.85,7.00,115.32,0.25,73.33,,,,0.00,0.00,10.17,163.10,129.98,88.32,129.21,87.71,41.03,179.94,682.37,57.57
Aananda Lakshmi,539096,,Textiles - Spinning - Synthetic / Blended,4.90,1.71,,-69.84,,2.00,10.99,,58.67,0.00,0.00,0.01,0.44,0.00,-6.54,35.70,3.92,4.19,3.88,4.18,156.54,156.54,156.54,16.49
Aanchal Ispat,538812,,Steel - Medium / Small,5.23,10.91,,24.77,0.21,2.00,16.37,,65.14,1.04,0.00,0.00,26.63,0.00,-30.02,71.14,5.70,5.96,5.72,5.97,-16.32,25.42,-21.00,-31.82
Aarcon Facilitie,532024,,Construction,7.29,4.34,,7.82,0.93,4.00,14.45,,93.25,18.74,0.00,0.00,0.00,0.00,85.80,4.29,5.44,5.11,5.37,5.09,30.18,30.18,30.18,5.60
Aarey Drugs,524412,,Pharmaceuticals - Indian - Bulk Drugs,31.10,72.73,12.31,38.50,0.81,4.00,19.45,0.63,49.38,-0.48,7.12,0.00,0.00,0.00,8.51,90.12,27.81,26.29,27.67,26.24,13.71,25.15,60.31,-17.48
Aarnav Fashions,539562,,Trading,72.10,108.19,40.52,14.68,4.91,3.00,41.36,0.98,27.21,-28.79,0.00,0.00,0.00,0.00,30.55,108.15,78.24,64.73,78.49,64.66,-18.49,44.06,41.93,
Aaron Industries,,AARON,Engineering,54.65,54.89,38.65,10.75,5.08,7.00,20.39,1.90,74.97,,,,0.00,0.00,18.97,59.95,54.87,45.64,54.88,45.55,13.50,69.20,159.87,
Aartech Solonics,542580,,Electric Equipment,37.00,26.12,,,,2.00,25.64,,52.38,,0.00,0.00,,0.00,,,34.91,34.79,34.83,34.77,0.00,8.82,5.71,
