NAME,MCAP,CMP,PE,Earning1,Earning2,Earning3,Earning4,DebtScore1,DebtScore2,DebtScore3,DebtScore4,DebtScore5,CashScore,IV-Max,IV-Avg,IV-Min,CAGR-Max,CAGR-Avg,CAGR-Min,ReturnMultiple-Max,ReturnMultiple-Avg,ReturnMultiple-Min
20 MICRONS LTD,140.09,39.7,7.093164556962026,9.0,5.0,5.0,5.0,3.0,0.0,0.0,8.0,6.0,6.0,380.1060583490489,237.57855080142605,164.20404209195064,0.4953731553424561,0.42468399283906066,0.37061066996972314,55.91081205900451,34.449700276384846,23.395971520261536
20 MICRONS LTD,140.09,39.7,7.093164556962026,9.0,5.0,5.0,5.0,3.0,0.0,0.0,8.0,6.0,6.0,380.1060583490489,237.57855080142605,164.20404209195064,0.4953731553424561,0.42468399283906066,0.37061066996972314,55.91081205900451,34.449700276384846,23.395971520261536
TWENTY FIRST CENTURY MANAGEMENT SERVICES LTD,13.28,12.65,-2.9251101321585904,3.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,0.0,4.0,-567.4836059965382,-352.3188816438251,-241.5500468228352,,,,-263.88947221416134,-162.2120378976845,-109.8422077166086
TWENTY FIRST CENTURY MANAGEMENT SERVICES LTD,13.28,12.65,-2.9251101321585904,3.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,0.0,4.0,-567.4836059965382,-352.3188816438251,-241.5500468228352,,,,-263.88947221416134,-162.2120378976845,-109.8422077166086
3I INFOTECH LTD,1252.91,7.75,10.59364166737127,4.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,5.0,14.890593188147431,9.374695640813284,6.535059421873497,0.2724833376839306,0.21264589057794958,0.16699276435317345,11.130663219736444,6.8760653199351855,4.684698366203473
3I INFOTECH LTD,1252.91,7.75,10.59364166737127,4.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,5.0,14.890593188147431,9.374695640813284,6.535059421873497,0.2724833376839306,0.21264589057794958,0.16699276435317345,11.130663219736444,6.8760653199351855,4.684698366203473
3M INDIA LTD,27871.78,24730.95,482.29416854127015,8.0,5.0,5.0,5.0,10.0,10.0,0.0,8.0,6.0,7.0,9619.454828980668,6116.630726996932,4313.343754530311,0.0834193317753027,0.03285048008749736,-0.005590225775694346,2.2282596995307964,1.3815752902386849,0.9454832602846297
3M INDIA LTD,27871.78,24730.95,482.29416854127015,8.0,5.0,5.0,5.0,10.0,10.0,0.0,8.0,6.0,7.0,9619.454828980668,6116.630726996932,4313.343754530311,0.0834193317753027,0.03285048008749736,-0.005590225775694346,2.2282596995307964,1.3815752902386849,0.9454832602846297
3P LAND HOLDINGS LTD,26.28,14.6,15.736526946107785,7.0,2.0,2.0,2.0,5.0,5.0,0.0,8.0,6.0,4.0,-33.631019512203494,-20.97790416931967,-14.463960735500676,,,,-13.481292632646026,-8.300590248049849,-5.632225276767028
3P LAND HOLDINGS LTD,26.28,14.6,15.736526946107785,7.0,2.0,2.0,2.0,5.0,5.0,0.0,8.0,6.0,4.0,-33.631019512203494,-20.97790416931967,-14.463960735500676,,,,-13.481292632646026,-8.300590248049849,-5.632225276767028
52 WEEKS ENTERTAINMENT LTD,2.72,0.78,3.2380952380952386,1.0,4.0,4.0,3.0,6.0,1.0,10.0,8.0,6.0,1.0,8.184208718881264,5.110683815523325,3.528404130215043,0.5092812327227358,0.4378875548172707,0.3832573587682484,61.334060620404415,37.77889476102942,25.646605583639698
5PAISA CAPITAL LTD,936.82,367.15,54.12016175621029,6.0,1.0,2.0,1.0,5.0,4.0,10.0,8.0,0.0,2.0,142.0726362176326,127.26596142835322,119.64334522620474,0.017280185748084875,-0.005557009022041481,-0.019454809104470283,1.186877386508014,0.945799132137177,0.8216297200486088
63 MOONS TECHNOLOGIES LTD,395.58,85.85,-3.984889694771835,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,6.0,3.0,-1211.1059996659017,-713.042877077166,-456.6352715905909,,,,-87.62093909332103,-52.94021787430798,-35.07761647207499
7NR RETAIL LTD,6.58,6.28,-12.185185185185183,4.0,1.0,1.0,1.0,6.0,6.0,10.0,8.0,6.0,3.0,138.29578250984375,86.89368348780246,60.43139682276779,0.624322128796257,0.5478280326426119,0.48942444862905865,127.85614598171544,78.92726954312312,53.726034212338504
A & M FEBCON LTD,1.92,1.5,6.857142857142858,4.0,2.0,2.0,1.0,4.0,2.0,10.0,8.0,6.0,2.0,51.60433668401559,32.345550831243905,22.43094575182823,0.6988807161625838,0.6187345132122035,0.5574890812757303,200.27598085481767,123.5253987630208,83.99435652669267
A AND M JUMBO BAGS LTD,10.24,9.75,-15.058823529411764,5.0,2.0,2.0,1.0,3.0,1.0,10.0,0.0,6.0,3.0,409.59217444947177,255.75084737758593,176.55187738688673,0.7338866407010145,0.6518634551112328,0.5890976965147645,245.58792203897093,151.2660449981689,102.68475735855098
