NAME,MCAP,CMP,PE,PE-TTM,EarningScore,DebtScore,CashScore,CompanyScore,G-IV,A-IV,P-IV,G-Valuation,A-Valuation,P-Valuation,G-ROI,A-ROI,P-ROI,G-Decision,A-Decision,P-Decision
20 MICRONS LTD,140.09,39.7,7.093164556962026,7.095746835443038,24.0,13.5,18.0,55.5,380.1060583490489,237.57855080142605,164.20404209195064,UNDERVALUED,UNDERVALUED,UNDERVALUED,55.91081205900451,34.449700276384846,23.395971520261536,BUY,BUY,BUY
TWENTY FIRST CENTURY MANAGEMENT SERVICES LTD,13.28,12.65,-2.9251101321585904,-2.925660792951542,3.0,30.0,12.0,45.0,-567.4836059965382,-352.3188816438251,-241.5500468228352,OVERVALUED,OVERVALUED,OVERVALUED,-263.88947221416134,-162.2120378976845,-109.8422077166086,DO NOT BUY,DO NOT BUY,DO NOT BUY
3I INFOTECH LTD,1252.91,7.75,10.59364166737127,10.590640060877652,4.0,12.5,15.0,31.5,14.890593188147431,9.374695640813284,6.535059421873497,UNDERVALUED,UNDERVALUED,OVERVALUED,11.130663219736444,6.8760653199351855,4.684698366203473,DO NOT BUY,DO NOT BUY,DO NOT BUY
3M INDIA LTD,27871.78,24730.95,482.29416854127015,483.578015227548,23.0,27.0,21.0,71.0,9619.454828980668,6116.630726996932,4313.343754530311,OVERVALUED,OVERVALUED,OVERVALUED,2.2282596995307964,1.3815752902386849,0.9454832602846297,DO NOT BUY,DO NOT BUY,DO NOT BUY
3P LAND HOLDINGS LTD,26.28,14.6,15.736526946107785,15.736526946107785,13.0,19.5,12.0,44.5,-33.631019512203494,-20.97790416931967,-14.463960735500676,OVERVALUED,OVERVALUED,OVERVALUED,-13.481292632646026,-8.300590248049849,-5.632225276767028,DO NOT BUY,DO NOT BUY,DO NOT BUY
52 WEEKS ENTERTAINMENT LTD,2.72,0.78,3.2380952380952386,3.2407142857142865,12.0,19.0,3.0,34.0,8.184208718881264,5.110683815523325,3.528404130215043,UNDERVALUED,UNDERVALUED,UNDERVALUED,61.334060620404415,37.77889476102942,25.646605583639698,BUY,BUY,BUY
5PAISA CAPITAL LTD,936.82,367.15,54.12016175621029,54.08622183708839,10.0,21.5,6.0,37.5,142.0726362176326,127.26596142835322,119.64334522620474,OVERVALUED,OVERVALUED,OVERVALUED,1.186877386508014,0.945799132137177,0.8216297200486088,DO NOT BUY,DO NOT BUY,DO NOT BUY
63 MOONS TECHNOLOGIES LTD,395.58,85.85,-3.984889694771835,-3.986788556462174,8.0,24.0,9.0,41.0,-1211.1059996659017,-713.042877077166,-456.6352715905909,OVERVALUED,OVERVALUED,OVERVALUED,-87.62093909332103,-52.94021787430798,-35.07761647207499,DO NOT BUY,DO NOT BUY,DO NOT BUY
7NR RETAIL LTD,6.58,6.28,-12.185185185185183,-12.211111111111112,7.0,24.0,9.0,40.0,138.29578250984375,86.89368348780246,60.43139682276779,UNDERVALUED,UNDERVALUED,UNDERVALUED,127.85614598171544,78.92726954312312,53.726034212338504,BUY,BUY,BUY
A & M FEBCON LTD,1.92,1.5,6.857142857142858,6.857142857142858,9.0,19.0,6.0,34.0,51.60433668401559,32.345550831243905,22.43094575182823,UNDERVALUED,UNDERVALUED,UNDERVALUED,200.27598085481767,123.5253987630208,83.99435652669267,BUY,BUY,BUY
A AND M JUMBO BAGS LTD,10.24,9.75,-15.058823529411764,-10.036764705882351,10.0,17.5,9.0,36.5,409.59217444947177,255.75084737758593,176.55187738688673,UNDERVALUED,UNDERVALUED,UNDERVALUED,245.58792203897093,151.2660449981689,102.68475735855098,BUY,BUY,BUY
